Timestamp,Elapsed_Seconds,Capacitance
2025-11-25 12:10:04.582451,66.8849,26.0
2025-11-25 12:10:04.629849,66.9323,25.0
2025-11-25 12:10:04.683620,66.9861,25.0
2025-11-25 12:10:04.731801,67.0343,26.0
2025-11-25 12:10:04.776553,67.079,27.0
2025-11-25 12:10:04.829854,67.1323,27.0
2025-11-25 12:10:04.885808,67.1883,28.0
2025-11-25 12:10:04.930754,67.2332,28.0
2025-11-25 12:10:04.977382,67.2798,30.0
2025-11-25 12:10:05.034604,67.3371,31.0
2025-11-25 12:10:05.077895,67.3804,31.0
2025-11-25 12:10:05.133698,67.4362,32.0
2025-11-25 12:10:05.178808,67.4813,34.0
2025-11-25 12:10:05.232735,67.5352,34.0
2025-11-25 12:10:05.281451,67.5839,34.0
2025-11-25 12:10:05.337642,67.6401,35.0
2025-11-25 12:10:05.381172,67.6836,37.0
2025-11-25 12:10:05.437463,67.7399,38.0
2025-11-25 12:10:05.481771,67.7842,39.0
2025-11-25 12:10:05.530683,67.8331,40.0
2025-11-25 12:10:05.587785,67.8902,40.0
2025-11-25 12:10:05.628398,67.9309,44.0
2025-11-25 12:10:05.685709,67.9882,45.0
2025-11-25 12:10:05.734189,68.0366,48.0
2025-11-25 12:10:05.776097,68.0786,49.0
2025-11-25 12:10:05.831760,68.1342,52.0
2025-11-25 12:10:05.881284,68.1838,49.0
2025-11-25 12:10:05.935946,68.2384,48.0
2025-11-25 12:10:05.981761,68.2842,52.0
2025-11-25 12:10:06.025298,68.3278,50.0
2025-11-25 12:10:06.083827,68.3863,46.0
2025-11-25 12:10:06.128682,68.4312,44.0
2025-11-25 12:10:06.184034,68.4865,43.0
2025-11-25 12:10:06.229094,68.5316,41.0
2025-11-25 12:10:06.282510,68.585,40.0
2025-11-25 12:10:06.328078,68.6305,40.0
2025-11-25 12:10:06.384193,68.6867,43.0
2025-11-25 12:10:06.431084,68.7335,51.0
2025-11-25 12:10:06.490277,68.7928,55.0
2025-11-25 12:10:06.531732,68.8342,73.0
2025-11-25 12:10:06.577489,68.88,55.0
2025-11-25 12:10:06.635796,68.9383,68.0
2025-11-25 12:10:06.679094,68.9816,46.0
2025-11-25 12:10:06.736220,69.0387,42.0
2025-11-25 12:10:06.785365,69.0878,41.0
2025-11-25 12:10:06.829214,69.1317,45.0
2025-11-25 12:10:06.884330,69.1868,44.0
2025-11-25 12:10:06.927958,69.2304,37.0
2025-11-25 12:10:06.986751,69.2892,44.0
2025-11-25 12:10:07.031633,69.3341,40.0
2025-11-25 12:10:07.074665,69.3771,39.0
2025-11-25 12:10:07.133055,69.4355,34.0
2025-11-25 12:10:07.177165,69.4796,33.0
2025-11-25 12:10:07.234012,69.5365,18.0
2025-11-25 12:10:07.279027,69.5815,61.0
2025-11-25 12:10:07.333689,69.6362,103.0
2025-11-25 12:10:07.379368,69.6818,40.0
2025-11-25 12:10:07.434020,69.7365,135.0
2025-11-25 12:10:07.480980,69.7834,31.0
2025-11-25 12:10:07.526761,69.8292,32.0
2025-11-25 12:10:07.580913,69.8834,29.0
2025-11-25 12:10:07.626718,69.9292,28.0
2025-11-25 12:10:07.681393,69.9838,29.0
2025-11-25 12:10:07.727451,70.0299,176.0
2025-11-25 12:10:07.777453,70.0799,31.0
2025-11-25 12:10:07.834580,70.1371,42.0
2025-11-25 12:10:07.886292,70.1888,43.0
2025-11-25 12:10:07.932902,70.2354,38.0
2025-11-25 12:10:07.974615,70.2771,38.0
2025-11-25 12:10:08.031994,70.3345,36.0
2025-11-25 12:10:08.083136,70.3856,33.0
2025-11-25 12:10:08.134619,70.4371,32.0
2025-11-25 12:10:08.176937,70.4794,32.0
2025-11-25 12:10:08.236850,70.5393,30.0
2025-11-25 12:10:08.279982,70.5824,28.0
2025-11-25 12:10:08.330589,70.6331,26.0
2025-11-25 12:10:08.382484,70.6849,26.0
2025-11-25 12:10:08.428089,70.7305,23.0
2025-11-25 12:10:08.484735,70.7872,19.0
2025-11-25 12:10:08.528438,70.8309,18.0
2025-11-25 12:10:08.587955,70.8904,17.0
2025-11-25 12:10:08.629976,70.9324,18.0
2025-11-25 12:10:08.677011,70.9795,19.0
2025-11-25 12:10:08.730965,71.0334,29.0
2025-11-25 12:10:08.777673,71.0801,21.0
2025-11-25 12:10:08.831416,71.1339,11.0
2025-11-25 12:10:08.877939,71.1804,11.0
2025-11-25 12:10:08.932575,71.235,8.0
2025-11-25 12:10:08.983584,71.2861,6.0
2025-11-25 12:10:09.027959,71.3304,4.0
2025-11-25 12:10:09.085114,71.3876,3.0
2025-11-25 12:10:09.132604,71.4351,3.0
2025-11-25 12:10:09.181999,71.4845,3.0
2025-11-25 12:10:09.227947,71.5304,3.0
2025-11-25 12:10:09.289201,71.5917,2.0
2025-11-25 12:10:09.329258,71.6317,2.0
2025-11-25 12:10:09.383065,71.6855,3.0
2025-11-25 12:10:09.429669,71.7321,2.0
2025-11-25 12:10:09.486625,71.7891,0.0
2025-11-25 12:10:09.528842,71.8313,0.0
2025-11-25 12:10:09.583964,71.8864,1.0
2025-11-25 12:10:09.630593,71.9331,0.0
2025-11-25 12:10:09.685206,71.9877,1.0
2025-11-25 12:10:09.729826,72.0323,1.0
2025-11-25 12:10:09.786598,72.0891,0.0
2025-11-25 12:10:09.827975,72.1304,0.0
2025-11-25 12:10:09.883939,72.1864,0.0
2025-11-25 12:10:09.927324,72.2298,0.0
2025-11-25 12:10:09.983202,72.2857,0.0
2025-11-25 12:10:10.027140,72.3296,2.0
2025-11-25 12:10:10.083315,72.3858,0.0
2025-11-25 12:10:10.134963,72.4374,0.0
2025-11-25 12:10:10.182744,72.4852,0.0
2025-11-25 12:10:10.228886,72.5313,0.0
2025-11-25 12:10:10.285163,72.5876,40.0
2025-11-25 12:10:10.327950,72.6304,26.0
2025-11-25 12:10:10.383612,72.6861,19.0
2025-11-25 12:10:10.427901,72.7304,18.0
2025-11-25 12:10:10.483751,72.7862,15.0
2025-11-25 12:10:10.532977,72.8354,14.0
2025-11-25 12:10:10.577721,72.8802,11.0
2025-11-25 12:10:10.632472,72.9349,9.0
2025-11-25 12:10:10.675499,72.978,9.0
2025-11-25 12:10:10.733333,73.0358,7.0
2025-11-25 12:10:10.781345,73.0838,6.0
2025-11-25 12:10:10.833457,73.1359,5.0
2025-11-25 12:10:10.877349,73.1798,4.0
2025-11-25 12:10:10.937754,73.2402,3.0
2025-11-25 12:10:10.980307,73.2828,3.0
2025-11-25 12:10:11.030254,73.3327,1.0
2025-11-25 12:10:11.083505,73.386,0.0
2025-11-25 12:10:11.128365,73.4308,0.0
2025-11-25 12:10:11.185560,73.488,0.0
2025-11-25 12:10:11.228049,73.5305,0.0
2025-11-25 12:10:11.282999,73.5855,0.0
2025-11-25 12:10:11.325876,73.6283,0.0
2025-11-25 12:10:11.375464,73.6779,0.0
2025-11-25 12:10:11.431733,73.7342,0.0
2025-11-25 12:10:11.482483,73.785,0.0
2025-11-25 12:10:11.529845,73.8323,0.0
2025-11-25 12:10:11.587721,73.8902,0.0
2025-11-25 12:10:11.629658,73.9321,0.0
2025-11-25 12:10:11.685409,73.9879,0.0
2025-11-25 12:10:11.727754,74.0302,0.0
2025-11-25 12:10:11.783652,74.0861,0.0
2025-11-25 12:10:11.825525,74.128,0.0
2025-11-25 12:10:11.880069,74.1825,0.0
2025-11-25 12:10:11.926864,74.2293,0.0
2025-11-25 12:10:11.980904,74.2834,0.0
2025-11-25 12:10:12.025359,74.3278,0.0
2025-11-25 12:10:12.081550,74.384,0.0
2025-11-25 12:10:12.124180,74.4266,0.0
2025-11-25 12:10:12.184491,74.487,0.0
2025-11-25 12:10:12.228258,74.5307,0.0
2025-11-25 12:10:12.277439,74.5799,0.0
2025-11-25 12:10:12.333226,74.6357,0.0
2025-11-25 12:10:12.380864,74.6833,0.0
2025-11-25 12:10:12.425655,74.7281,-1.0
2025-11-25 12:10:12.482171,74.7846,-1.0
2025-11-25 12:10:12.524486,74.8269,0.0
2025-11-25 12:10:12.581932,74.8844,-1.0
2025-11-25 12:10:12.627510,74.93,0.0
2025-11-25 12:10:12.680217,74.9827,0.0
2025-11-25 12:10:12.729337,75.0318,-1.0
2025-11-25 12:10:12.772208,75.0747,0.0
2025-11-25 12:10:12.833477,75.1359,1.0
2025-11-25 12:10:12.883862,75.1863,1.0
2025-11-25 12:10:12.925663,75.2281,0.0
2025-11-25 12:10:12.981062,75.2835,-1.0
2025-11-25 12:10:13.023948,75.3264,9.0
2025-11-25 12:10:13.081278,75.3837,35.0
2025-11-25 12:10:13.129990,75.4325,-1.0
2025-11-25 12:10:13.174294,75.4768,20.0
2025-11-25 12:10:13.229359,75.5318,0.0
2025-11-25 12:10:13.272901,75.5754,15.0
2025-11-25 12:10:13.329199,75.6317,12.0
2025-11-25 12:10:13.377412,75.6799,10.0
2025-11-25 12:10:13.429936,75.7324,8.0
2025-11-25 12:10:13.477393,75.7799,6.0
2025-11-25 12:10:13.521840,75.8243,4.0
2025-11-25 12:10:13.579533,75.882,2.0
2025-11-25 12:10:13.625286,75.9277,0.0
2025-11-25 12:10:13.682430,75.9849,0.0
2025-11-25 12:10:13.730496,76.033,-1.0
2025-11-25 12:10:13.773196,76.0757,-1.0
2025-11-25 12:10:13.832699,76.1352,-1.0
2025-11-25 12:10:13.878112,76.1806,-1.0
2025-11-25 12:10:13.921261,76.2237,-1.0
2025-11-25 12:10:13.981039,76.2835,-1.0
2025-11-25 12:10:14.027213,76.3297,-1.0
2025-11-25 12:10:14.080699,76.3832,-2.0
2025-11-25 12:10:14.128249,76.4307,-2.0
2025-11-25 12:10:14.174027,76.4765,-2.0
2025-11-25 12:10:14.230444,76.5329,-2.0
2025-11-25 12:10:14.274407,76.5769,-2.0
2025-11-25 12:10:14.330526,76.633,-2.0
2025-11-25 12:10:14.379423,76.6819,-2.0
